cidade,codigo_cidade,data,semana_epidem,populacao,populacao_2019,is_last,is_repeated,casos_confirmados,casos_por_100k_habitantes,data_atualizacao,taxa_mortalidade,obitos,estado,casos_novos,obitos_novos
Santo André,3547809.0,2020-03-16,202012,721368.0,718773.0,False,False,1,0.13863,2020-03-16,0.0,0,SP,1,0
Santo André,3547809.0,2020-03-17,202012,721368.0,718773.0,False,False,1,0.13863,2020-03-17,0.0,0,SP,0,0
Santo André,3547809.0,2020-03-18,202012,721368.0,718773.0,False,False,6,0.83175,2020-03-18,0.0,0,SP,5,0
Santo André,3547809.0,2020-03-19,202012,721368.0,718773.0,False,False,2,0.27725,2020-03-19,0.0,0,SP,-4,0
Santo André,3547809.0,2020-03-20,202012,721368.0,718773.0,False,False,3,0.41588,2020-03-20,0.0,0,SP,1,0
Santo André,3547809.0,2020-03-21,202012,721368.0,718773.0,False,True,3,0.41588,2020-03-20,0.0,0,SP,0,0
Santo André,3547809.0,2020-03-22,202013,721368.0,718773.0,False,True,3,0.41588,2020-03-20,0.0,0,SP,0,0
Santo André,3547809.0,2020-03-23,202013,721368.0,718773.0,False,True,3,0.41588,2020-03-20,0.0,0,SP,0,0
Santo André,3547809.0,2020-03-24,202013,721368.0,718773.0,False,True,3,0.41588,2020-03-20,0.0,0,SP,0,0
Santo André,3547809.0,2020-03-25,202013,721368.0,718773.0,False,False,17,2.35663,2020-03-25,0.0,0,SP,14,0
Santo André,3547809.0,2020-03-26,202013,721368.0,718773.0,False,False,16,2.21801,2020-03-26,0.0,0,SP,-1,0
Santo André,3547809.0,2020-03-27,202013,721368.0,718773.0,False,False,17,2.35663,2020-03-27,0.0,0,SP,1,0
Santo André,3547809.0,2020-03-28,202013,721368.0,718773.0,False,True,17,2.35663,2020-03-27,0.0,0,SP,0,0
Santo André,3547809.0,2020-03-29,202014,721368.0,718773.0,False,True,17,2.35663,2020-03-27,0.0,0,SP,0,0
Santo André,3547809.0,2020-03-30,202014,721368.0,718773.0,False,False,40,5.54502,2020-03-30,0.0,0,SP,23,0
Santo André,3547809.0,2020-03-31,202014,721368.0,718773.0,False,False,48,6.65402,2020-03-31,0.0208,1,SP,8,1
Santo André,3547809.0,2020-04-01,202014,721368.0,718773.0,False,False,51,7.0699,2020-04-01,0.0392,2,SP,3,1
Santo André,3547809.0,2020-04-02,202014,721368.0,718773.0,False,False,59,8.1789,2020-04-02,0.0339,2,SP,8,0
Santo André,3547809.0,2020-04-03,202014,721368.0,718773.0,False,False,70,9.70379,2020-04-03,0.0286,2,SP,11,0
Santo André,3547809.0,2020-04-04,202014,721368.0,718773.0,False,False,76,10.53554,2020-04-04,0.0395,3,SP,6,1
Santo André,3547809.0,2020-04-05,202015,721368.0,718773.0,False,False,72,9.98104,2020-04-05,0.0417,3,SP,-4,0
Santo André,3547809.0,2020-04-06,202015,721368.0,718773.0,False,False,74,10.258289999999999,2020-04-06,0.0405,3,SP,2,0
Santo André,3547809.0,2020-04-07,202015,721368.0,718773.0,False,False,98,13.5853,2020-04-07,0.0306,3,SP,24,0
Santo André,3547809.0,2020-04-08,202015,721368.0,718773.0,False,False,113,15.664679999999999,2020-04-08,0.0265,3,SP,15,0
Santo André,3547809.0,2020-04-09,202015,721368.0,718773.0,False,False,130,18.021320000000003,2020-04-09,0.0231,3,SP,17,0
Santo André,3547809.0,2020-04-10,202015,721368.0,718773.0,False,False,139,19.26894,2020-04-10,0.0216,3,SP,9,0
Santo André,3547809.0,2020-04-11,202015,721368.0,718773.0,False,False,142,19.684820000000002,2020-04-11,0.0211,3,SP,3,0
Santo André,3547809.0,2020-04-12,202016,721368.0,718773.0,False,False,147,20.37795,2020-04-12,0.0204,3,SP,5,0
Santo André,3547809.0,2020-04-13,202016,721368.0,718773.0,False,False,150,20.79383,2020-04-13,0.0267,4,SP,3,1
Santo André,3547809.0,2020-04-14,202016,721368.0,718773.0,False,False,160,22.18008,2020-04-14,0.025,4,SP,10,0
Santo André,3547809.0,2020-04-15,202016,721368.0,718773.0,False,False,186,25.78434,2020-04-15,0.0323,6,SP,26,2
Santo André,3547809.0,2020-04-16,202016,721368.0,718773.0,False,False,205,28.418229999999998,2020-04-16,0.0341,7,SP,19,1
Santo André,3547809.0,2020-04-17,202016,721368.0,718773.0,False,False,222,30.774859999999997,2020-04-17,0.045,10,SP,17,3
Santo André,3547809.0,2020-04-18,202016,721368.0,718773.0,False,False,236,32.71562,2020-04-18,0.0508,12,SP,14,2
Santo André,3547809.0,2020-04-19,202017,721368.0,718773.0,False,False,247,34.2405,2020-04-19,0.0486,12,SP,11,0
Santo André,3547809.0,2020-04-20,202017,721368.0,718773.0,False,False,257,35.62675,2020-04-20,0.0467,12,SP,10,0
Santo André,3547809.0,2020-04-21,202017,721368.0,718773.0,False,False,270,37.42889,2020-04-21,0.0519,14,SP,13,2
Santo André,3547809.0,2020-04-22,202017,721368.0,718773.0,False,False,275,38.122009999999996,2020-04-22,0.0509,14,SP,5,0
Santo André,3547809.0,2020-04-23,202017,721368.0,718773.0,False,False,286,39.64689,2020-04-23,0.0524,15,SP,11,1
Santo André,3547809.0,2020-04-24,202017,721368.0,718773.0,False,False,296,41.03315,2020-04-24,0.0574,17,SP,10,2
Santo André,3547809.0,2020-04-25,202017,721368.0,718773.0,False,False,339,46.994040000000005,2020-04-25,0.0531,18,SP,43,1
Santo André,3547809.0,2020-04-26,202018,721368.0,718773.0,False,False,344,47.68717,2020-04-26,0.0523,18,SP,5,0
Santo André,3547809.0,2020-04-27,202018,721368.0,718773.0,False,False,378,52.40044,2020-04-27,0.0529,20,SP,34,2
Santo André,3547809.0,2020-04-28,202018,721368.0,718773.0,False,False,420,58.22271,2020-04-28,0.0548,23,SP,42,3
Santo André,3547809.0,2020-04-29,202018,721368.0,718773.0,False,False,468,64.87673000000001,2020-04-29,0.062,29,SP,48,6
Santo André,3547809.0,2020-04-30,202018,721368.0,718773.0,False,False,519,71.94663,2020-04-30,0.0559,29,SP,51,0
Santo André,3547809.0,2020-05-01,202018,721368.0,718773.0,False,False,565,78.32341,2020-05-01,0.0602,34,SP,46,5
Santo André,3547809.0,2020-05-02,202018,721368.0,718773.0,False,False,578,80.12554,2020-05-02,0.0606,35,SP,13,1
Santo André,3547809.0,2020-05-03,202019,721368.0,718773.0,False,False,580,80.40279,2020-05-03,0.0603,35,SP,2,0
Santo André,3547809.0,2020-05-04,202019,721368.0,718773.0,False,False,586,81.23454,2020-05-04,0.0614,36,SP,6,1
Santo André,3547809.0,2020-05-05,202019,721368.0,718773.0,False,False,624,86.50231,2020-05-05,0.0641,40,SP,38,4
Santo André,3547809.0,2020-05-06,202019,721368.0,718773.0,False,False,759,105.21675,2020-05-06,0.058,44,SP,135,4
Santo André,3547809.0,2020-05-07,202019,721368.0,718773.0,False,False,803,111.31628,2020-05-07,0.0548,44,SP,44,0
Santo André,3547809.0,2020-05-08,202019,721368.0,718773.0,False,False,836,115.89092,2020-05-08,0.0538,45,SP,33,1
Santo André,3547809.0,2020-05-09,202019,721368.0,718773.0,False,False,884,122.54494,2020-05-09,0.0543,48,SP,48,3
Santo André,3547809.0,2020-05-10,202020,721368.0,718773.0,False,False,925,128.22859,2020-05-10,0.053,49,SP,41,1
Santo André,3547809.0,2020-05-11,202020,721368.0,718773.0,False,False,929,128.78309,2020-05-11,0.0527,49,SP,4,0
Santo André,3547809.0,2020-05-12,202020,721368.0,718773.0,False,False,964,133.63498,2020-05-12,0.0529,51,SP,35,2
Santo André,3547809.0,2020-05-13,202020,721368.0,718773.0,False,False,1048,145.27952,2020-05-13,0.0515,54,SP,84,3
Santo André,3547809.0,2020-05-14,202020,721368.0,718773.0,False,False,1152,159.69658,2020-05-14,0.0503,58,SP,104,4
Santo André,3547809.0,2020-05-15,202020,721368.0,718773.0,False,False,1224,169.67761000000002,2020-05-15,0.0531,65,SP,72,7
Santo André,3547809.0,2020-05-16,202020,721368.0,718773.0,False,False,1286,178.27239,2020-05-16,0.0521,67,SP,62,2
Santo André,3547809.0,2020-05-17,202021,721368.0,718773.0,False,False,1296,179.65865,2020-05-17,0.0525,68,SP,10,1
Santo André,3547809.0,2020-05-18,202021,721368.0,718773.0,False,False,1310,181.59941,2020-05-18,0.0519,68,SP,14,0
Santo André,3547809.0,2020-05-19,202021,721368.0,718773.0,False,False,1369,189.77831,2020-05-19,0.057,78,SP,59,10
Santo André,3547809.0,2020-05-20,202021,721368.0,718773.0,False,False,1513,209.74038,2020-05-20,0.0608,92,SP,144,14
Santo André,3547809.0,2020-05-21,202021,721368.0,718773.0,False,False,1634,226.51407000000003,2020-05-21,0.06,98,SP,121,6
Santo André,3547809.0,2020-05-22,202021,721368.0,718773.0,False,False,1718,238.15861,2020-05-22,0.0605,104,SP,84,6
Santo André,3547809.0,2020-05-23,202021,721368.0,718773.0,False,False,1822,252.57566,2020-05-23,0.0582,106,SP,104,2
Santo André,3547809.0,2020-05-24,202022,721368.0,718773.0,False,False,1846,255.90267000000003,2020-05-24,0.0596,110,SP,24,4
Santo André,3547809.0,2020-05-25,202022,721368.0,718773.0,False,False,1855,257.1503,2020-05-25,0.0593,110,SP,9,0
Santo André,3547809.0,2020-05-26,202022,721368.0,718773.0,False,False,1888,261.72494,2020-05-26,0.0588,111,SP,33,1
Santo André,3547809.0,2020-05-27,202022,721368.0,718773.0,False,False,1957,271.2901,2020-05-27,0.0588,115,SP,69,4
Santo André,3547809.0,2020-05-28,202022,721368.0,718773.0,False,False,2097,290.69767,2020-05-28,0.0567,119,SP,140,4
Santo André,3547809.0,2020-05-29,202022,721368.0,718773.0,False,False,2223,308.16449,2020-05-29,0.058,129,SP,126,10
Santo André,3547809.0,2020-05-30,202022,721368.0,718773.0,False,False,2330,322.99742000000003,2020-05-30,0.0558,130,SP,107,1
Santo André,3547809.0,2020-05-31,202023,721368.0,718773.0,False,False,2308,319.94766,2020-05-31,0.0576,133,SP,-22,3
Santo André,3547809.0,2020-06-01,202023,721368.0,718773.0,False,False,2318,321.33391,2020-06-01,0.0578,134,SP,10,1
Santo André,3547809.0,2020-06-02,202023,721368.0,718773.0,False,False,2489,345.03887000000003,2020-06-02,0.0558,139,SP,171,5
Santo André,3547809.0,2020-06-03,202023,721368.0,718773.0,False,False,2607,361.39668,2020-06-03,0.0556,145,SP,118,6
Santo André,3547809.0,2020-06-04,202023,721368.0,718773.0,False,False,2764,383.16087999999996,2020-06-04,0.0554,153,SP,157,8
Santo André,3547809.0,2020-06-05,202023,721368.0,718773.0,False,False,2917,404.37057999999996,2020-06-05,0.0549,160,SP,153,7
Santo André,3547809.0,2020-06-06,202023,721368.0,718773.0,False,False,3087,427.93692000000004,2020-06-06,0.0544,168,SP,170,8
Santo André,3547809.0,2020-06-07,202024,721368.0,718773.0,False,False,3188,441.9381,2020-06-07,0.053,169,SP,101,1
Santo André,3547809.0,2020-06-08,202024,721368.0,718773.0,False,False,3201,443.74023,2020-06-08,0.0528,169,SP,13,0
Santo André,3547809.0,2020-06-09,202024,721368.0,718773.0,False,False,3376,467.99969000000004,2020-06-09,0.0524,177,SP,175,8
Santo André,3547809.0,2020-06-10,202024,721368.0,718773.0,False,False,3527,488.93214000000006,2020-06-10,0.0527,186,SP,151,9
Santo André,3547809.0,2020-06-11,202024,721368.0,718773.0,False,False,3659,507.23071,2020-06-11,0.0522,191,SP,132,5
Santo André,3547809.0,2020-06-12,202024,721368.0,718773.0,False,False,3781,524.14302,2020-06-12,0.0508,192,SP,122,1
Santo André,3547809.0,2020-06-13,202024,721368.0,718773.0,False,False,3889,539.1145700000001,2020-06-13,0.0501,195,SP,108,3
Santo André,3547809.0,2020-06-14,202025,721368.0,718773.0,False,False,3943,546.60035,2020-06-14,0.0497,196,SP,54,1
Santo André,3547809.0,2020-06-15,202025,721368.0,718773.0,False,False,3971,550.48186,2020-06-15,0.0496,197,SP,28,1
Santo André,3547809.0,2020-06-16,202025,721368.0,718773.0,False,False,4123,571.55294,2020-06-16,0.0495,204,SP,152,7
Santo André,3547809.0,2020-06-17,202025,721368.0,718773.0,False,False,4131,572.6619400000001,2020-06-17,0.0501,207,SP,8,3
Santo André,3547809.0,2020-06-18,202025,721368.0,718773.0,False,False,4148,575.0185799999999,2020-06-18,0.0526,218,SP,17,11
Santo André,3547809.0,2020-06-19,202025,721368.0,718773.0,False,False,4515,625.89413,2020-06-19,0.0498,225,SP,367,7
Santo André,3547809.0,2020-06-20,202025,721368.0,718773.0,False,False,4680,648.76734,2020-06-20,0.0494,231,SP,165,6
Santo André,3547809.0,2020-06-21,202026,721368.0,718773.0,False,False,4813,667.20453,2020-06-21,0.0482,232,SP,133,1
Santo André,3547809.0,2020-06-22,202026,721368.0,718773.0,False,False,4834,670.11567,2020-06-22,0.048,232,SP,21,0
Santo André,3547809.0,2020-06-23,202026,721368.0,718773.0,False,False,5101,707.12868,2020-06-23,0.0469,239,SP,267,7
Santo André,3547809.0,2020-06-24,202026,721368.0,718773.0,False,False,5340,740.26017,2020-06-24,0.0448,239,SP,239,0
Santo André,3547809.0,2020-06-25,202026,721368.0,718773.0,False,False,5549,769.2329,2020-06-25,0.0442,245,SP,209,6
Santo André,3547809.0,2020-06-26,202026,721368.0,718773.0,False,False,5709,791.41298,2020-06-26,0.0434,248,SP,160,3
Santo André,3547809.0,2020-06-27,202026,721368.0,718773.0,False,False,5932,822.32647,2020-06-27,0.0428,254,SP,223,6
Santo André,3547809.0,2020-06-28,202027,721368.0,718773.0,False,False,6089,844.0906699999999,2020-06-28,0.0417,254,SP,157,0
Santo André,3547809.0,2020-06-29,202027,721368.0,718773.0,False,False,6135,850.46745,2020-06-29,0.0414,254,SP,46,0
Santo André,3547809.0,2020-06-30,202027,721368.0,718773.0,False,False,6390,885.81695,2020-06-30,0.0401,256,SP,255,2
Santo André,3547809.0,2020-07-01,202027,721368.0,718773.0,False,False,6704,929.34535,2020-07-01,0.0386,259,SP,314,3
Santo André,3547809.0,2020-07-02,202027,721368.0,718773.0,False,False,6945,962.7541,2020-07-02,0.0379,263,SP,241,4
Santo André,3547809.0,2020-07-03,202027,721368.0,718773.0,False,False,7162,992.8358300000001,2020-07-03,0.0376,269,SP,217,6
Santo André,3547809.0,2020-07-04,202027,721368.0,718773.0,False,False,7188,996.4401,2020-07-04,0.038,273,SP,26,4
Santo André,3547809.0,2020-07-05,202028,721368.0,718773.0,False,False,7372,1021.9471900000001,2020-07-05,0.0373,275,SP,184,2
Santo André,3547809.0,2020-07-06,202028,721368.0,718773.0,False,False,7388,1024.1652,2020-07-06,0.0372,275,SP,16,0
Santo André,3547809.0,2020-07-07,202028,721368.0,718773.0,False,False,7604,1054.10831,2020-07-07,0.0371,282,SP,216,7
Santo André,3547809.0,2020-07-08,202028,721368.0,718773.0,False,False,7811,1082.8037800000002,2020-07-08,0.0374,292,SP,207,10
Santo André,3547809.0,2020-07-09,202028,721368.0,718773.0,False,False,7985,1106.92462,2020-07-09,0.0366,292,SP,174,0
Santo André,3547809.0,2020-07-10,202028,721368.0,718773.0,False,False,8076,1119.53954,2020-07-10,0.0365,295,SP,91,3
Santo André,3547809.0,2020-07-11,202028,721368.0,718773.0,False,False,8203,1137.14498,2020-07-11,0.0367,301,SP,127,6
Santo André,3547809.0,2020-07-12,202029,721368.0,718773.0,False,False,8275,1147.12602,2020-07-12,0.0375,310,SP,72,9
Santo André,3547809.0,2020-07-13,202029,721368.0,718773.0,False,False,8293,1149.62128,2020-07-13,0.0374,310,SP,18,0
Santo André,3547809.0,2020-07-14,202029,721368.0,718773.0,False,False,8432,1168.89022,2020-07-14,0.0378,319,SP,139,9
Santo André,3547809.0,2020-07-15,202029,721368.0,718773.0,False,False,8564,1187.18879,2020-07-15,0.0376,322,SP,132,3
Santo André,3547809.0,2020-07-16,202029,721368.0,718773.0,False,False,8688,1204.37835,2020-07-16,0.0379,329,SP,124,7
Santo André,3547809.0,2020-07-17,202029,721368.0,718773.0,False,False,8766,1215.1911400000001,2020-07-17,0.0386,338,SP,78,9
Santo André,3547809.0,2020-07-18,202029,721368.0,718773.0,False,False,8841,1225.58805,2020-07-18,0.0387,342,SP,75,4
Santo André,3547809.0,2020-07-19,202030,721368.0,718773.0,False,False,8877,1230.57857,2020-07-19,0.0385,342,SP,36,0
Santo André,3547809.0,2020-07-20,202030,721368.0,718773.0,False,False,8890,1232.3807,2020-07-20,0.0385,342,SP,13,0
Santo André,3547809.0,2020-07-21,202030,721368.0,718773.0,False,False,9052,1254.8380300000001,2020-07-21,0.0383,347,SP,162,5
Santo André,3547809.0,2020-07-22,202030,721368.0,718773.0,False,False,9391,1301.83207,2020-07-22,0.0379,356,SP,339,9
Santo André,3547809.0,2020-07-23,202030,721368.0,718773.0,False,False,9607,1331.77518,2020-07-23,0.0379,364,SP,216,8
Santo André,3547809.0,2020-07-24,202030,721368.0,718773.0,False,False,9819,1361.16379,2020-07-24,0.0378,371,SP,212,7
Santo André,3547809.0,2020-07-25,202030,721368.0,718773.0,False,False,9985,1384.17562,2020-07-25,0.0377,376,SP,166,5
Santo André,3547809.0,2020-07-26,202031,721368.0,718773.0,False,False,10079,1397.20642,2020-07-26,0.0373,376,SP,94,0
Santo André,3547809.0,2020-07-27,202031,721368.0,718773.0,False,False,10104,1400.6720599999999,2020-07-27,0.0372,376,SP,25,0
Santo André,3547809.0,2020-07-28,202031,721368.0,718773.0,False,False,10313,1429.64479,2020-07-28,0.0368,380,SP,209,4
Santo André,3547809.0,2020-07-29,202031,721368.0,718773.0,False,False,10480,1452.7952400000001,2020-07-29,0.0363,380,SP,167,0
Santo André,3547809.0,2020-07-30,202031,721368.0,718773.0,False,False,10707,1484.26323,2020-07-30,0.0356,381,SP,227,1
Santo André,3547809.0,2020-07-31,202031,721368.0,718773.0,False,False,10953,1518.36511,2020-07-31,0.0352,385,SP,246,4
Santo André,3547809.0,2020-08-01,202031,721368.0,718773.0,False,False,11066,1534.02979,2020-08-01,0.0353,391,SP,113,6
Santo André,3547809.0,2020-08-02,202032,721368.0,718773.0,False,False,11128,1542.62457,2020-08-02,0.0357,397,SP,62,6
Santo André,3547809.0,2020-08-03,202032,721368.0,718773.0,False,False,11142,1544.5653300000001,2020-08-03,0.0356,397,SP,14,0
Santo André,3547809.0,2020-08-04,202032,721368.0,718773.0,False,False,11382,1577.83545,2020-08-04,0.0352,401,SP,240,4
